ID;Catégorie d’aléa;Type d’aléa (scénario);Description aléa;Famille de risque;Exemple de risque (intitulé);Description détaillée du risque;Exemples concrets;Impacts potentiels;Mesures de prévention;Mesures de mitigation;Probabilité;Gravité;Criticité;Tags
12;Accident;Accident du travail grave;Blessure grave ou décès sur site;Image / réputation;Perception d’impréparation ou de manque de transparence;Perception d’impréparation ou de manque de transparence — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → perception d’impréparation ou de manque de transparence (ex. décisions immédiates, coordination, reprise).;Perte de confiance, pression médiatique, rumeurs.;Veille médias, porte-parole, éléments de langage, charte RS.;Communication factuelle/empathetic, lutte rumeurs, coordination autorités.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
13;Accident;Accident du travail grave;Blessure grave ou décès sur site;Géopolitique / institutionnel;Intervention de l’État / autorités (préfecture, inspection, régulateur);Intervention de l’État / autorités (préfecture, inspection, régulateur) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → intervention de l’état / autorités (préfecture, inspection, régulateur) (ex. décisions immédiates, coordination, reprise).;Injonctions, contrôles, arbitrages publics, priorisation ressources.;Veille institutionnelle, carto parties prenantes, protocoles autorités.;Coordination préf/mairie/régulateurs, demandes de moyens publics.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
14;Accident;Accident du travail grave;Blessure grave ou décès sur site;Géopolitique / institutionnel;Priorisation nationale des ressources (énergie, santé, sécurité);Priorisation nationale des ressources (énergie, santé, sécurité) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → priorisation nationale des ressources (énergie, santé, sécurité) (ex. décisions immédiates, coordination, reprise).;Injonctions, contrôles, arbitrages publics, priorisation ressources.;Veille institutionnelle, carto parties prenantes, protocoles autorités.;Coordination préf/mairie/régulateurs, demandes de moyens publics.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
15;Accident;Accident du travail grave;Blessure grave ou décès sur site;Informatique / numérique;Perte du SI local (supervision, communications, annuaire, outils métier);Perte du SI local (supervision, communications, annuaire, outils métier) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → perte du si local (supervision, communications, annuaire, outils métier) (ex. décisions immédiates, coordination, reprise).;Perte outils, rupture communications, fuite info.;Segmentation, sauvegardes, redondance télécom, procédures hors-ligne.;Mode dégradé, restauration, canaux alternatifs, contrôle intégrité.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
16;Accident;Accident du travail grave;Blessure grave ou décès sur site;Informatique / numérique;Cyberattaque opportuniste pendant la crise (phishing, ransom, DDoS);Cyberattaque opportuniste pendant la crise (phishing, ransom, DDoS) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → cyberattaque opportuniste pendant la crise (phishing, ransom, ddos) (ex. décisions immédiates, coordination, reprise).;Perte outils, rupture communications, fuite info.;Segmentation, sauvegardes, redondance télécom, procédures hors-ligne.;Mode dégradé, restauration, canaux alternatifs, contrôle intégrité.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
17;Accident;Accident du travail grave;Blessure grave ou décès sur site;Défaillance / résilience;Effet domino multi-réseaux (énergie + télécom + eau);Effet domino multi-réseaux (énergie + télécom + eau) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → effet domino multi-réseaux (énergie + télécom + eau) (ex. décisions immédiates, coordination, reprise).;Domino multi-systèmes, crise prolongée, défaillance gouvernance.;Tests de résilience, exercices multi-crises, cartographie dépendances.;Limiter le domino, renforcer gouvernance, cellules spécialisées, REX.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
18;Accident;Accident du travail grave;Blessure grave ou décès sur site;Défaillance / résilience;Défaillance d’un acteur clé (prestataire, fournisseur, opérateur);Défaillance d’un acteur clé (prestataire, fournisseur, opérateur) — Dans le contexte « Accident du travail grave » (Accident). Blessure grave ou décès sur site. Points sensibles : arrêt d’activité, secours, enquête.;Exemple : Accident du travail grave → défaillance d’un acteur clé (prestataire, fournisseur, opérateur) (ex. décisions immédiates, coordination, reprise).;Domino multi-systèmes, crise prolongée, défaillance gouvernance.;Tests de résilience, exercices multi-crises, cartographie dépendances.;Limiter le domino, renforcer gouvernance, cellules spécialisées, REX.;Moyenne;Élevée;Moyenne;arrêt d’activité, secours, enquête
19;Accident;Accident transport;Collision/déraillement sur un axe logistique;Opérationnel;Arrêt immédiat des activités et sécurisation du périmètre;Arrêt immédiat des activités et sécurisation du périmètre — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → arrêt immédiat des activités et sécurisation du périmètre (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
20;Accident;Accident transport;Collision/déraillement sur un axe logistique;Opérationnel;Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires);Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
21;Accident;Accident transport;Collision/déraillement sur un axe logistique;Industriel / technique;Destruction d’ouvrages ou d’équipements critiques;Destruction d’ouvrages ou d’équipements critiques — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → destruction d’ouvrages ou d’équipements critiques (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
22;Accident;Accident transport;Collision/déraillement sur un axe logistique;Industriel / technique;Déclenchement de sécurités et arrêt automatique des systèmes;Déclenchement de sécurités et arrêt automatique des systèmes — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → déclenchement de sécurités et arrêt automatique des systèmes (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
23;Accident;Accident transport;Collision/déraillement sur un axe logistique;Ressources humaines;Traumatisme des équipes et stress post-évènement (RPS);Traumatisme des équipes et stress post-évènement (RPS) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → traumatisme des équipes et stress post-évènement (rps) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
24;Accident;Accident transport;Collision/déraillement sur un axe logistique;Ressources humaines;Exposition à des risques physiques (chaleur, fumées, toxiques);Exposition à des risques physiques (chaleur, fumées, toxiques) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → exposition à des risques physiques (chaleur, fumées, toxiques) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
25;Accident;Accident transport;Collision/déraillement sur un axe logistique;Juridique / conformité;Mise en cause pénale (accident grave, mise en danger, pollution);Mise en cause pénale (accident grave, mise en danger, pollution) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → mise en cause pénale (accident grave, mise en danger, pollution) (ex. décisions immédiates, coordination, reprise).;Enquêtes, obligations, contentieux, sanctions.;Veille réglementaire, audits, plans de prévention, conservation des preuves.;Déclarations, interface autorités, stratégie contentieuse, documentation.;Moyenne;Critique;Élevée;blocage, évacuation, retards
26;Accident;Accident transport;Collision/déraillement sur un axe logistique;Juridique / conformité;Contentieux contractuels (pénalités, retards, responsabilités);Contentieux contractuels (pénalités, retards, responsabilités) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → contentieux contractuels (pénalités, retards, responsabilités) (ex. décisions immédiates, coordination, reprise).;Enquêtes, obligations, contentieux, sanctions.;Veille réglementaire, audits, plans de prévention, conservation des preuves.;Déclarations, interface autorités, stratégie contentieuse, documentation.;Moyenne;Critique;Élevée;blocage, évacuation, retards
27;Accident;Accident transport;Collision/déraillement sur un axe logistique;Financier;Coûts de réparation et de remise en état (ouvrages, équipements);Coûts de réparation et de remise en état (ouvrages, équipements) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → coûts de réparation et de remise en état (ouvrages, équipements) (ex. décisions immédiates, coordination, reprise).;Pertes d’exploitation, coûts de remise en état, hausse primes/franchises.;Assurances adaptées, budgets d’urgence, suivi trésorerie, clauses contractuelles.;Activation fonds d’urgence, suivi coûts, déclaration assureur, mitigation pénalités.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
28;Accident;Accident transport;Collision/déraillement sur un axe logistique;Financier;Hausse des primes, franchises et difficultés d’assurabilité;Hausse des primes, franchises et difficultés d’assurabilité — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → hausse des primes, franchises et difficultés d’assurabilité (ex. décisions immédiates, coordination, reprise).;Pertes d’exploitation, coûts de remise en état, hausse primes/franchises.;Assurances adaptées, budgets d’urgence, suivi trésorerie, clauses contractuelles.;Activation fonds d’urgence, suivi coûts, déclaration assureur, mitigation pénalités.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
29;Accident;Accident transport;Collision/déraillement sur un axe logistique;Image / réputation;Médiatisation nationale / locale et perte de confiance;Médiatisation nationale / locale et perte de confiance — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → médiatisation nationale / locale et perte de confiance (ex. décisions immédiates, coordination, reprise).;Perte de confiance, pression médiatique, rumeurs.;Veille médias, porte-parole, éléments de langage, charte RS.;Communication factuelle/empathetic, lutte rumeurs, coordination autorités.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
30;Accident;Accident transport;Collision/déraillement sur un axe logistique;Image / réputation;Perception d’impréparation ou de manque de transparence;Perception d’impréparation ou de manque de transparence — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → perception d’impréparation ou de manque de transparence (ex. décisions immédiates, coordination, reprise).;Perte de confiance, pression médiatique, rumeurs.;Veille médias, porte-parole, éléments de langage, charte RS.;Communication factuelle/empathetic, lutte rumeurs, coordination autorités.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
31;Accident;Accident transport;Collision/déraillement sur un axe logistique;Géopolitique / institutionnel;Intervention de l’État / autorités (préfecture, inspection, régulateur);Intervention de l’État / autorités (préfecture, inspection, régulateur) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → intervention de l’état / autorités (préfecture, inspection, régulateur) (ex. décisions immédiates, coordination, reprise).;Injonctions, contrôles, arbitrages publics, priorisation ressources.;Veille institutionnelle, carto parties prenantes, protocoles autorités.;Coordination préf/mairie/régulateurs, demandes de moyens publics.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
32;Accident;Accident transport;Collision/déraillement sur un axe logistique;Géopolitique / institutionnel;Priorisation nationale des ressources (énergie, santé, sécurité);Priorisation nationale des ressources (énergie, santé, sécurité) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → priorisation nationale des ressources (énergie, santé, sécurité) (ex. décisions immédiates, coordination, reprise).;Injonctions, contrôles, arbitrages publics, priorisation ressources.;Veille institutionnelle, carto parties prenantes, protocoles autorités.;Coordination préf/mairie/régulateurs, demandes de moyens publics.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
33;Accident;Accident transport;Collision/déraillement sur un axe logistique;Informatique / numérique;Perte du SI local (supervision, communications, annuaire, outils métier);Perte du SI local (supervision, communications, annuaire, outils métier) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → perte du si local (supervision, communications, annuaire, outils métier) (ex. décisions immédiates, coordination, reprise).;Perte outils, rupture communications, fuite info.;Segmentation, sauvegardes, redondance télécom, procédures hors-ligne.;Mode dégradé, restauration, canaux alternatifs, contrôle intégrité.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
34;Accident;Accident transport;Collision/déraillement sur un axe logistique;Informatique / numérique;Cyberattaque opportuniste pendant la crise (phishing, ransom, DDoS);Cyberattaque opportuniste pendant la crise (phishing, ransom, DDoS) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → cyberattaque opportuniste pendant la crise (phishing, ransom, ddos) (ex. décisions immédiates, coordination, reprise).;Perte outils, rupture communications, fuite info.;Segmentation, sauvegardes, redondance télécom, procédures hors-ligne.;Mode dégradé, restauration, canaux alternatifs, contrôle intégrité.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
35;Accident;Accident transport;Collision/déraillement sur un axe logistique;Défaillance / résilience;Effet domino multi-réseaux (énergie + télécom + eau);Effet domino multi-réseaux (énergie + télécom + eau) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → effet domino multi-réseaux (énergie + télécom + eau) (ex. décisions immédiates, coordination, reprise).;Domino multi-systèmes, crise prolongée, défaillance gouvernance.;Tests de résilience, exercices multi-crises, cartographie dépendances.;Limiter le domino, renforcer gouvernance, cellules spécialisées, REX.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
36;Accident;Accident transport;Collision/déraillement sur un axe logistique;Défaillance / résilience;Défaillance d’un acteur clé (prestataire, fournisseur, opérateur);Défaillance d’un acteur clé (prestataire, fournisseur, opérateur) — Dans le contexte « Accident transport » (Accident). Collision/déraillement sur un axe logistique. Points sensibles : blocage, évacuation, retards.;Exemple : Accident transport → défaillance d’un acteur clé (prestataire, fournisseur, opérateur) (ex. décisions immédiates, coordination, reprise).;Domino multi-systèmes, crise prolongée, défaillance gouvernance.;Tests de résilience, exercices multi-crises, cartographie dépendances.;Limiter le domino, renforcer gouvernance, cellules spécialisées, REX.;Moyenne;Élevée;Moyenne;blocage, évacuation, retards
37;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Opérationnel;Arrêt immédiat des activités et sécurisation du périmètre;Arrêt immédiat des activités et sécurisation du périmètre — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → arrêt immédiat des activités et sécurisation du périmètre (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
38;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Opérationnel;Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires);Désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → désorganisation de la coordination multi-acteurs (secours, autorités, partenaires) (ex. décisions immédiates, coordination, reprise).;Arrêt/retards, mode dégradé, impacts usagers/clients.;PCA/PRA, procédures mode dégradé, exercices réguliers, annuaire crise.;Arrêt sécurisé, priorisation activités, cellule terrain, points de situation.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
39;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Industriel / technique;Destruction d’ouvrages ou d’équipements critiques;Destruction d’ouvrages ou d’équipements critiques — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → destruction d’ouvrages ou d’équipements critiques (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
40;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Industriel / technique;Déclenchement de sécurités et arrêt automatique des systèmes;Déclenchement de sécurités et arrêt automatique des systèmes — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → déclenchement de sécurités et arrêt automatique des systèmes (ex. décisions immédiates, coordination, reprise).;Dommages matériels, risques de sur-accident, indisponibilité d’équipements.;Maintenance préventive, inspections, redondances techniques, permis de travail.;Mise en sécurité, réparations, expertises, reprise sous conditions.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
41;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Ressources humaines;Traumatisme des équipes et stress post-évènement (RPS);Traumatisme des équipes et stress post-évènement (RPS) — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → traumatisme des équipes et stress post-évènement (rps) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
42;Accident;TMD – fuite;Perte de confinement lors d’un transport de matières dangereuses;Ressources humaines;Exposition à des risques physiques (chaleur, fumées, toxiques);Exposition à des risques physiques (chaleur, fumées, toxiques) — Dans le contexte « TMD – fuite » (Accident). Perte de confinement lors d’un transport de matières dangereuses. Points sensibles : périmètre, NRBC, dépollution.;Exemple : TMD – fuite → exposition à des risques physiques (chaleur, fumées, toxiques) (ex. décisions immédiates, coordination, reprise).;Choc, fatigue, absentéisme, tensions sociales.;Prévention RPS, formation managers, rotations astreinte, culture Stop Work.;Soutien psychologique, communication interne, renforts, repos imposé.;Moyenne;Élevée;Moyenne;périmètre, NRBC, dépollution
